title,author,runtime
Murtagh,Christopher Paolini,Length: 18 hrs
The Captain,Will Wight,Length: Not Yet Known
"Right Man, Right Time",Meghan Quinn,Length: 12 hrs and 39 mins
Dragon's Justice 6,Bruce Sentar,Length: 10 hrs and 44 mins
Feral Wolf,Caroline Peckham,Length: 11 hrs and 34 mins
A Game of Malice and Greed,Caroline Peckham,Length: 25 hrs and 50 mins
Dirty Laundry,Richard Pink,Length: 4 hrs and 2 mins
Rise of the Weakest Summoner: Volumes I-III Omnibus,J. R. Saileri,Length: 28 hrs and 43 mins
I Will Find You,Harlan Coben,Length: 10 hrs and 16 mins
Mark of the Fool 3,J.M. Clarke,Length: 22 hrs and 51 mins
Defiance of the Fall 9,TheFirstDefier,Length: 22 hrs and 34 mins
This Young Master's Mother Is Mighty,D.C. Haenlien,Length: 14 hrs and 21 mins
"Portal to Nova Roma: The Rhine, Book 3",J.R. Mathews,Length: 25 hrs and 24 mins
Dirty Thirty,Janet Evanovich,Length: 8 hrs
Magical Midlife Alliance,K.F. Breene,Length: 11 hrs and 26 mins
Stain,Neven Iliev,Length: 16 hrs and 34 mins
Magi Guard,Daniel Schinhofen,Length: 13 hrs and 2 mins
How to Defy a Vampire,Alice Winters,Length: 9 hrs and 52 mins
One for the Ages,JD Kirk,Length: 11 hrs and 32 mins
Toe the Line,Penelope Ward,Length: 8 hrs and 9 mins
Code Red,Vince Flynn,Length: 9 hrs and 30 mins
Forge Master,Seth Ring,Length: 14 hrs and 38 mins
The Medici Manuscript,C.J. Archer,Length: 7 hrs and 59 mins
BattleTech: No Greater Honor,John Helfers,Length: 11 hrs and 12 mins
Prince of Lies,Lucy Lennox,Length: 10 hrs and 26 mins
Poison Roses,Tate James,Length: 8 hrs and 25 mins
Never Marry Your Brother's Best Friend,Lauren Landish,Length: 11 hrs and 25 mins
The Rising,Jodi Ellen Malpas,Length: 21 hrs and 32 mins
Foul Play,Helena Marchmont,Length: 2 hrs and 57 mins
Never Shall I Fail,Jason Anspach,Length: 11 hrs and 15 mins
Saved,Benjamin Hall,Length: 8 hrs and 23 mins
Loving Whiskey,Brittanee Nicole,Length: 12 hrs and 17 mins
Jungle World,B.V. Larson,Length: 13 hrs and 59 mins
The Lord Ruler,Alvin Atwater,Length: 17 hrs and 39 mins
Rocked by Love: The Bradens & Montgomerys,Melissa Foster,Length: 13 hrs and 14 mins
Scaling People,Claire Hughes Johnson,Length: 11 hrs and 32 mins
When He's Torn,Suzanne Wright,Length: 11 hrs
Oscar Wars,Michael Schulman,Length: 21 hrs
Two Weeks Notice,Amy Porterfield,Length: 7 hrs and 38 mins
Satan's Affair,H. D. Carlton,Length: 5 hrs and 47 mins
UFO of God,Chris Bledsoe,Length: 7 hrs and 52 mins
Only the Dead,Jack Carr,Length: 12 hrs
The New Guy,Sarina Bowen,Length: 9 hrs and 49 mins
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,Mike Chapple,Length: 65 hrs and 38 mins
Stolen Youth,Karol Markowicz,Length: 9 hrs and 5 mins
Pathways to Peace of Mind,Napoleon Hill,Length: 4 hrs and 23 mins
For Her Consideration,Amy Spalding,Length: 11 hrs and 18 mins
Frame: On Self Actualization for the Modern Man,Rian Stone,Length: 6 hrs and 22 mins
Outlive,Peter Attia MD,Length: 17 hrs and 7 mins
Powerless,Elsie Silver,Length: 10 hrs and 25 mins
Silver Master,Jayne Castle,Length: 9 hrs and 37 mins
The White Pill,Michael Malice,Length: 9 hrs and 11 mins
Until You,K. Bromberg,Length: 8 hrs and 27 mins
Annoyed at First Sight,Lani Lynn Vale,Length: 5 hrs and 41 mins
Heart of Sherwood,Edale Lane,Length: 13 hrs and 54 mins
Don't Let Me Break,Kelsie Rae,Length: 10 hrs and 19 mins
The Ravenglass Chronicles: Complete Omnibus,Jon Cronshaw,Length: 40 hrs and 58 mins
Conspiracy of Dragons,Louisa Masters,Length: 7 hrs and 17 mins
When a Moth Loved a Bee,Pepper Winters,Length: 24 hrs and 27 mins
Fateless: Book One,Martin McKenzie,Length: 18 hrs and 58 mins
Saffron Wilds,Kai Butler,Length: 12 hrs and 48 mins
Herald of Wind,Matthew Wolf,Length: 44 hrs and 46 mins
Cómo piensan los ricos,Morgan Housel,Length: 7 hrs and 2 mins
Dangerous Jesus,Kevin Burgess,Length: 7 hrs and 11 mins
My So-Called Sex Life,Lauren Blakely,Length: 8 hrs and 2 mins
Cast the First Crone,Amanda M. Lee,Length: 8 hrs and 52 mins
Unraveling Destiny,Amelia Hutchins,Length: 10 hrs and 55 mins
A Long Time Coming,Meghan Quinn,Length: 12 hrs and 22 mins
Esrahaddon,Michael J. Sullivan,Length: Not Yet Known
Lunatic,Onley James,Length: 7 hrs and 49 mins
Double Dose,Gretchen Archer,Length: 8 hrs and 14 mins
The Family Jewels,Caimh McDonnell,Length: 10 hrs and 9 mins
The Path of Ascension 2,C. Mantis,Length: 17 hrs and 38 mins
The Vow,Maggie Cole,Length: 9 hrs and 37 mins
Destiny of a Prince,R.K. Lander,Length: 29 hrs and 52 mins
Whiskey Lies,Brittanee Nicole,Length: 11 hrs and 48 mins
Now You See Me,D.K. Hood,Length: 7 hrs and 43 mins
The Black Farm,Elias Witherow,Length: 9 hrs and 39 mins
Nurture,Erica Chidi,Length: 11 hrs and 33 mins
Backpacking Through Bedlam,Seanan McGuire,Length: 12 hrs and 54 mins
Reclusive Mage,Inadvisably Compelled,Length: 12 hrs and 27 mins
The Secret Life of Sunflowers,Marta Molnar,Length: 9 hrs and 52 mins
Forest of Foes,Matthew Harffy,Length: 14 hrs and 28 mins
Imperium Descent: Volume III,Christopher Hopper,Length: 10 hrs and 50 mins
The Sceptic,Lily Morton,Length: 11 hrs and 18 mins
The Snow Graves,Roger Stelljes,Length: 12 hrs and 49 mins
Blood Lovers,JA Huss,Length: 11 hrs and 9 mins
Not Accountable,Philip K. Howard,Length: 4 hrs and 4 mins
Butt-dialing the Billionaire,Annika Martin,Length: 10 hrs and 28 mins
League of Auld,Edward Savio,Length: 12 hrs and 46 mins
Every Shot Counts,Mark Broadie,Length: 6 hrs and 28 mins
Cannon,Sawyer Bennett,Length: 7 hrs and 44 mins
Prometheus Rising,Robert Anton Wilson,Length: 7 hrs and 57 mins
Lanegan,Greg Prato,Length: 8 hrs and 57 mins
Hope Street,Christopher Artinian,Length: 8 hrs and 45 mins
The Miracle of Flexibility,Miranda Esmonde-White,Length: 2 hrs and 36 mins
Living on the Inside of the Edge,Christian Kimball,Length: 9 hrs and 13 mins
The Three-Body Problem,Cixin Liu,Length: 14 hrs and 46 mins
"Dark Waters, Starry Skies",Jeffrey Cox,Length: 31 hrs and 15 mins
Twisted Secrets,Rachel Leigh,Length: 8 hrs and 44 mins
Ghost's Whisper,Ella Summers,Length: 10 hrs and 40 mins
Lucky in Lace,Melissa Brayden,Length: 11 hrs and 2 mins
Central Banking 101,Joseph J Wang,Length: 4 hrs and 49 mins
First Comes Blood,Lilith Vincent,Length: 8 hrs and 22 mins
A Praying Church,Paul E. Miller,Length: 7 hrs and 28 mins
My What If Year,Alisha Fernandez Miranda,Length: 7 hrs and 22 mins
Cherish,Tracy Wolff,Length: 19 hrs
Believing Me,Ingrid Clayton,Length: 7 hrs and 15 mins
Three Widows,Patricia Gibney,Length: 13 hrs and 45 mins
BCBA Exam Study Prep Crash Course,Linda Cooper,Length: 6 hrs and 14 mins
Grandmaster Arcanist,Shami Stovall,Length: 15 hrs and 13 mins
The Surprise,Kristen Proby,Length: 2 hrs and 4 mins
They're Lying,Liz Collin,Length: 5 hrs and 20 mins
A Match in the Making,Jen Turano,Length: 10 hrs and 4 mins
Battle Miner,Kirk Mason,Length: 9 hrs and 9 mins
"Secular, Sacred, Spirit",Blake K. Healy,Length: 3 hrs and 29 mins
What a Unicorn Knows,Matthew E. May,Length: 7 hrs and 44 mins
Both Feet in the Grave,Jeaniene Frost,Length: 10 hrs and 5 mins
Nantucket Homes,Pamela M. Kelley,Length: 5 hrs and 53 mins
How to Save the West,Spencer Klavan,Length: 6 hrs and 33 mins
What's Our Problem?,Tim Urban,Length: 13 hrs and 58 mins
The Mistress Next Door,Lesley Sanderson,Length: 8 hrs and 22 mins
Vicious Bonds,Shanora Williams,Length: 12 hrs and 24 mins
Dave the Villager 18: An Unofficial Minecraft Book,Dave Villager,Length: 1 hr and 42 mins
Lent,Esau McCaulley,Length: 1 hr and 51 mins
Shadows of Light,Brenda K. Davies,Length: 10 hrs and 33 mins
Payback in Death,J. D. Robb,Length: 13 hrs
The Dragon Twins: The Complete Series,Michelle Madow,Length: 23 hrs and 10 mins
Her Final Breath,Carolyn Arnold,Length: 8 hrs and 42 mins
The Black Cloud,Fred Hoyle,Length: 7 hrs and 53 mins
Courage to Stand,Ginny Dye,Length: 16 hrs and 6 mins
Deracine Sun,J.N. Chaney,Length: 8 hrs and 2 mins
The Tangled Treasure Trail,Benedict Brown,Length: 8 hrs and 3 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
Burner,Mark Greaney,Length: 16 hrs and 37 mins
Only Bad Options,Jennifer Estep,Length: 12 hrs and 35 mins
Fraser,Susan May Warren,Length: 8 hrs and 38 mins
Shadow's Seventh Step,A. F. Kay,Length: 15 hrs and 38 mins
Angron: The Red Angel,David Guymer,Length: 10 hrs and 57 mins
Never Lie,Freida McFadden,Length: 7 hrs and 22 mins
Alt System,Tom Larcombe,Length: 13 hrs and 25 mins
Happy Place,Emily Henry,Length: Not Yet Known
Forevermore,Dannika Dark,Length: 3 hrs and 30 mins
Unexpected,Chris Thomas,Length: 9 hrs and 25 mins
Confrontations,Jacques Vallee,Length: 8 hrs and 37 mins
A Contracted Spouse for the Prizefighter,Alice Coldbreath,Length: 15 hrs and 43 mins
Heartless,Elsie Silver,Length: 9 hrs and 51 mins
Rocky Start,Annabeth Albert,Length: 9 hrs and 20 mins
Queen Charlotte,Julia Quinn,Length: 12 hrs
At the Left Hand of God,Dr. Robert Svoboda,Length: 11 hrs and 34 mins
Trolled,Lindsay Buroker,Length: 9 hrs and 6 mins
The End and the Death: Volume 1,Dan Abnett,Length: 18 hrs and 33 mins
King of the Shadow Fae,Amelia Hutchins,Length: 8 hrs and 32 mins
Glucose Goddess Method,Jessie Inchauspe,Length: 3 hrs
Wyoming Wild,Sarah M. Eden,Length: 7 hrs and 32 mins
Optimize Your Health with Therapeutic Peptides,Jay Campbell,Length: 3 hrs and 1 min
Mistress of Mellyn,Victoria Holt,Length: 8 hrs and 49 mins
The Hole We're In,Gabrielle Zevin,Length: 9 hrs and 2 mins
The 6 Types of Working Genius,Patrick M. Lencioni,Length: 4 hrs and 11 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
Delete the Adjective,Lisa Jaster,Length: 6 hrs and 2 mins
The Awe of God,John Bevere,Length: 7 hrs and 28 mins
Imagine Big,Terri Savelle Foy,Length: 5 hrs and 47 mins
Their Resting Place,B.R. Spangler,Length: 7 hrs and 59 mins
Killing the Witches,Bill O'Reilly,Length: 10 hrs
Drive with Me To: California DMV Handbook,Driversland Driversland,Length: 4 hrs and 48 mins
Good Power,Ginni Rometty,Length: 9 hrs and 24 mins
Monroe Doctrine: Volume VI,James Rosone,Length: 9 hrs and 54 mins
Wool,Hugh Howey,Length: 15 hrs
Storm Watch,C. J. Box,Length: 9 hrs and 4 mins
Drama Free,Nedra Glover Tawwab,Length: 7 hrs and 36 mins
Mark of the Fool,J.M. Clarke,Length: 19 hrs
"Mud, Blood, and Magic",A. D. Krabis,Length: 14 hrs and 17 mins
Flawless,Elsie Silver,Length: 9 hrs and 44 mins
Flowers for the Devil,Vlad Kahany,Length: 11 hrs and 28 mins
Lowcountry Getaway,Susan M. Boyer,Length: 4 hrs and 46 mins
Can't Say Goodbye,Eden Finley,Length: 8 hrs and 5 mins
(Not) the One,Donna Alam,Length: 11 hrs and 40 mins
Vanished in Vermillion,Lou Raguse,Length: 9 hrs and 40 mins
Holly,Stephen King,Length: 16 hrs
The Prince Goes Nuclear,Matthew Howry,Length: 11 hrs and 52 mins
Monsters and How to Tame Them,Kevin Hart,Length: 5 hrs and 37 mins
For Blood and Money,Nathan Vardi,Length: 8 hrs and 33 mins
Magitech Chronicles Omnibus,Chris Fox,Length: 108 hrs and 51 mins
Little Bird,Ria Wilde,Length: 6 hrs and 18 mins
Star Wars Jedi: Battle Scars,Sam Maggs,Length: 10 hrs and 28 mins
Lassiter,J.R. Ward,Length: 15 hrs
Children of Time,Adrian Tchaikovsky,Length: 16 hrs and 31 mins
The Secret,Rhonda Byrne,Length: 4 hrs and 24 mins
The Great Gatsby,F. Scott Fitzgerald,Length: 4 hrs and 49 mins
The Surgeon,Leslie Wolfe,Length: 10 hrs and 46 mins
Dragon,Kat Blackthorne,Length: 10 hrs and 14 mins
Tears of Liscor,pirateaba,Length: 42 hrs and 3 mins
