title,subtitle,author,narrator,series,length,release_date,language,ratings
One for the Ages,"DCI Logan Crime Thrillers, Book 16",By: JD Kirk,Narrated by: Angus King,"Series: DCI Logan Crime Thrillers, Book 16",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Hell Divers X: Fallout,"Hell Divers Series, Book 10",By: Nicholas Sansbury Smith,Narrated by: R. C. Bray,"Series: Hell Divers, Book 10",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
A Game of Malice and Greed,Not Found,"By: Caroline Peckham, Susanne Valenti","Narrated by: Bridget Bordeaux, Jake Bordeaux","Series: Game of Malice and Greed, Book 1",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
The New Guy,Not Found,By: Sarina Bowen,"Narrated by: Teddy Hamilton, J.F. Harding",Not Found,Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
"Portal to Nova Roma: The Rhine, Book 3",Not Found,By: J.R. Mathews,Narrated by: Christian J. Gilliland,"Series: Portal to Nova Roma, Book 3",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Storm Watch,"Joe Pickett, Book 23",By: C. J. Box,Narrated by: David Chandler,"Series: Joe Pickett, Book 23",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
The Lord Ruler,"Rise of the Cheat Potion Maker, Book 3",By: Alvin Atwater,"Narrated by: Matt Hicks, Allie Piper","Series: Rise of the Cheat Potion Maker Series, Book 3",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Dirty Thirty,"Stephanie Plum, Book 30",By: Janet Evanovich,Not Found,"Series: Stephanie Plum, Book 30",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Win Every Argument,"The Art of Debating, Persuading, and Public Speaking",By: Mehdi Hasan,Narrated by: Mehdi Hasan,Not Found,Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Payback in Death,An Eve Dallas Novel,By: J. D. Robb,Narrated by: Susan Ericksen,"Series: In Death, Book 57",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Never Shall I Fail,"Forgotten Ruin, Book 7","By: Jason Anspach, Nick Cole",Narrated by: Christopher Ryan Grant,"Series: Forgotten Ruin, Book 7",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Stain,"Everybody Loves Large Chests, Vol. 8",By: Neven Iliev,"Narrated by: Jeff Hays, Annie Ellicott, Dorrie Sacks, Laurie Winkel, Justin James, Will Watt, Gary Furlong, Soundbooth Theater, full cast","Series: Everybody-Loves-Large-Chests, Book 8",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
The Courage to Be Free,Florida’s Blueprint for America’s Revival,By: Ron DeSantis,"Narrated by: Ron DeSantis, John Pruden",Not Found,Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
How to Defy a Vampire,"VRC: Vampire Related Crimes, Book 5",By: Alice Winters,Narrated by: Michael Ferraiuolo,"Series: VRC: Vampire Related Crime, Book 5",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Toe the Line,Not Found,By: Penelope Ward,"Narrated by: Erin Mallon, Jacob Morgan",Not Found,Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Rise of the Weakest Summoner: Volumes I-III Omnibus,Not Found,By: J. R. Saileri,"Narrated by: Jonathan Waters, Ellory Lane","Series: Rise of the Weakest Summoner, Book Vol. 1 - Vol. 3",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Two Weeks Notice,"Find the Courage to Quit Your Job, Make More Money, Work Where You Want, and Change the World",By: Amy Porterfield,Narrated by: Amy Porterfield,Not Found,Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Drama Free,A Guide to Managing Unhealthy Family Relationships,By: Nedra Glover Tawwab,Narrated by: Nedra Glover Tawwab,Not Found,Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Powerless,A Small Town Friends to Lovers Romance,By: Elsie Silver,"Narrated by: Teddy Hamilton, CJ Bloom","Series: Chestnut Springs, Book 3",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
A Court of Frost and Starlight (Dramatized Adaptation),"A Court of Thorns and Roses, Book 4",By: Sarah J. Maas,"Narrated by: Amanda Forstrom, Colleen Delany, Eva Wilhelm, Nora Achrati, Anthony Palmini, Natalie Van Sistine, Gabriel Michael, Melody Muze, Karenna Foley, Jon Vertullo, Shawn K. Jain","Series: A Court of Thorns and Roses, Book 4, Dramatized Adaptation",Length: 11 hrs and 32 mins,Release date: 02-28-23,Language: English,5 out of 5 stars
Never Marry Your Brother's Best Friend,"Never Say Never, Book 1",By: Lauren Landish,"Narrated by: Carly Robins, Lee Samuels","Series: Never Say Never, Book 1",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
In the Frame,Cherringham. A Cosy Crime Series - Mystery Shorts 42,"By: Matthew Costello, Neil Richards",Narrated by: Neil Dudgeon,"Series: Cherringham. A Cosy Crime Series - Mystery Shorts, Book 42",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Smarter Not Harder,The Biohacker's Guide to Getting the Body and Mind You Want,By: Dave Asprey,Narrated by: Dave Asprey,Not Found,Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Satan's Affair,Not Found,By: H. D. Carlton,"Narrated by: Christian Black, Marlaina Garrett",Not Found,Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
In a Jam,Not Found,By: Kate Canterbary,"Narrated by: Jason Clarke, Kit Swann",Not Found,Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
